Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
03/15/2019,Surtidoras,Muffins,"Food & Beverages, Bakery Product/Mix",Undeclared milk,"Surtidoras Bakery, Inc."
03/15/2019,Hospira,Sodium bicarbonate injection USP,"Drugs, Generic Drugs",Presence of Particulate Matter,"Hospira, Inc."
03/15/2019,Legacy,Losartan Potassium USP,"Drugs, Prescription Drugs",Due to the Detection of Trace Amounts of N-Nitroso N-Methyl 4-amino butyric acid (NMBA),Legacy Pharmaceutical Packaging
03/13/2019,Pillsbury,Flour,"Food & Beverages, Bakery Product/Mix",Salmonella,Hometown Food
03/13/2019,Stokes Healthcare,Pilocarpine opthalmic solution,"Drugs, Generic Drugs",Due to a High Level of Preservative,"Stokes Healthcare, Inc."
03/11/2019,Claire's,Makeup,"Cosmetics, Makeup",Possible presence of asbestos,Claire's Stores
03/08/2019,Fullei Fresh,Organic Bean Sprouts,"Food & Beverages, Produce",Potential to be contaminated with Listeria monocytogenes,Fullei Fresh
03/07/2019,"Aurobindo Pharma USA, Inc.",Valsartan Tablets USP,"Drugs,",Due to detection of N-Nitrosodiethylamine (NDEA),American Health Packaging
03/07/2019,Norbrook,"Enroflox® 100 Injection, Noromectin® Injection, Ivermax® 1% Injection","Animal & Veterinary, Animal Drugs",Lack of sterility assurance,Norbrook Laboratories Limited
03/06/2019,Life-Line tm,Additive for human drinking water,"Drugs, Generic Drugs",Contaminated with Pseudomonas aeruginosa,McDaniel Life-Line LLC
03/04/2019,Bachman,Twist Pretzels,"Food & Beverages, Milk/Milk Product, Snack Food Item",Undeclared Milk,"UTZ Quality Foods, Inc."
03/04/2019,Marketside,Green Beans and Butternut Squash,"Food & Beverages, Vegetable Products",Potential to be contaminated with Listeria monocytogenes,Southern Specialties Inc
03/01/2019,Sunstone Organics,White Vein Kratom and Maeng Da Kratom,"Food & Beverages, Meal Replacements",Potential Contamination by Salmonella,Sunstone Organics
03/01/2019,"Aurobindo, Acetris",Valsartan and Amlodipine and Valsartan tablets,"Drugs, Prescription Drugs",Due to the detection of NDEA (N-Nitrosodiethylamine) Impurity,"AurobindoPharma USA, Inc."
03/01/2019,Nova Salted Biscuit,Nova Salted Biscuit,"Food & Beverages, Bakery Product/Mix",Milk Allergen,Asia Foods Distributor Inc.
03/01/2019,Apotex Corp.,"Drospirenone and Ethinyl Estradiol Tablets, USP","Drugs, Prescription Drugs",Possibility of Missing/Incorrect Tablet Arrangement,Apotex Corp.
03/01/2019,Torrent Pharma,Losartan Potassium Tablets USP and Losartan Potassium/hydrochlorothiazide Tablets USP,"Drugs, Prescription Drugs",Due to The Detection of N-Nitroso N-Methyl 4-Amino Butyric Acid (NMBA),Torrent Pharmaceuticals Limited
02/28/2019,"Camber Pharmaceuticals, Inc.","Losartan Tablets USP 25 mg, 50 mg, and 100 mg","Drugs, Inactive Ingredient, Prescription Drugs",Due to The Detection of N-Nitroso N-Methyl 4-Amino Butyric Acid (NMBA),"Camber Pharmaceuticals, Inc."
02/27/2019,Joy,Joy Brand Chutneys and Pastes,"Food & Beverages,",Allergy Alert on Undeclared Sulfites,Joy Gourmet Foods Inc
02/26/2019,ChemoLock and ChemoClave,Vial Spikes,"Drugs, Oncology",Due to the Potential for Burr Particulate,"ICU Medical, Inc."
02/25/2019,Golean Detox,Dietary Supplement for Weight Loss,"Dietary Supplements, Drugs, Nutritional Supplement",Mislabeling,Golean Detox USA
02/25/2019,Victoria,Marinara Sauce,"Food & Beverages, Allergens, Gravy/Sauces, Tree Nuts",Undeclared Cashew,Victoria
02/22/2019,Smoked Alaska,Smoked Silver Salmon,"Food & Beverages, Fish",Potential to be contaminated with Clostridium botulinum,"Smoked Alaska Seafoods, Inc"
02/22/2019,Meijer,Ultimate Chocolate Mint Chip Cookies,"Food & Beverages, Chocolate/Cocoa Product",Undeclared Soy,Meijer
02/22/2019,Concord Fresh Success,Mild Salsa Seasoning Mix,"Food & Beverages, Allergens, Gravy/Sauces",Undeclared milk,Concord Foods
02/22/2019,Macleods,Losartan Potassium/Hydrochlorothiazide Combination Tablets,"Drugs, Generic Drugs, Prescription Drugs",Due to detection of NDEA (N-Nitrosodiethylamine) Impurity,Macleods Pharmaceuticals Limited
02/20/2019,Jacques Torres,Jacques’ Big Daddy Bar,"Food & Beverages, Chocolate/Cocoa Product",Undeclared Milk,Jacques Torres Manufacturing LLC
02/20/2019,Gilda Industries,Panque – Butter pound cake,"Food & Beverages, Bakery Product/Mix",Undeclared milk,"Gilda Industries, Inc."
02/15/2019,"Evolve, Sportsman's Pride, and Triumph",Dry Dog Food,"Animal & Veterinary, Pet Food",Potentially Elevated Levels of Vitamin D,Sunshine Mills Inc.
02/15/2019,DG™,Baby Gripe Water herbal supplement,"Dietary Supplements, Baby Food Product, Medical Food/Beverage",Due to Undissolved Ingredient,"Kingston Pharma, LLC"
02/15/2019,Jansal Valley,Dukkah 2.5oz,"Food & Beverages, Prepared Food",Due to Potential Glass Pieces,Sid Wainer and Son
02/13/2019,Ottogi,JIN JJAMBBONG’ and Jin Ramen,"Food & Beverages, Soup",Undeclared Egg,"Ottogi America, Inc"
02/11/2019,WTRMLN WTR,Cold pressed juiced watermelon,"Food & Beverages, Juice",Possible Presence of Soft Plastic Pieces,"World Waters, LLC"
02/08/2019,McDaniel Life-Line,Indian Herb (topical),"Drugs, Over-the-Counter Drugs, Prescription Drugs",Unapproved drug. Marketed without an approved NDA/ANDA,McDaniel Life-Line LLC
02/08/2019,Bird Seed Food Co.,Granola-Goldenola Turmeric & Ginger,"Food & Beverages, Allergens, Snack Food Item",Undeclared Cashews,Bird Seed Food Co.
02/04/2019,Whole Foods Market,Hipster Chipster Cookies,"Food & Beverages, Snack Food Item","Undeclared Walnut, Milk and Eggs",Whole Foods Market
02/04/2019,Dr. Reddy’s Laboratories Ltd.,Infusion Bags (Levetiracetram in 0.54% Sodium Chloride Injection),"Drugs, Generic Drugs",Mislabeling,Dr. Reddy’s Laboratories Ltd.
02/04/2019,Stacy's,Pita Chips,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,Frito-Lay
02/01/2019,LIFEPAK,Defibrillator,"Medical Devices, Cardiovascular",Device Dysfunction,Striker
02/01/2019,Oskri,Nut Butters,"Food & Beverages, Butter/Butter Product",Listeria monocytogenes,Oskri Organics Corporation
02/01/2019,Gold Medal,Unbleached Flour,"Food & Beverages, Bakery Product/Mix, Salmonella",Potential Presence of Salmonella,General Mills
02/01/2019,Simple Truth Organic,Fruit Puree with Nonfat Greek Yogurt pouch,"Food & Beverages, Fruit/Fruit Product",Undeclared milk,Perrigo Company
02/01/2019,Satur Farms,Baby Spinach and Mesclun,"Food & Beverages, Produce",Potential Contamination by Salmonella,Satur Farms
02/01/2019,"Jac. Vandenberg, Inc.","Peaches, nectarines, plums","Food & Beverages, Fruit/Fruit Product",Listeria,"Jac. Vandenberg, Inc."
01/31/2019,Hill's Science Diet,Canned Dog Food,"Animal & Veterinary, Pet Food",Potentially Elevated Levels of Vitamin D,Hill's Pet Nutrition
01/31/2019,"Dole, Fresh Selections, Simple Truth, Marketside, The Little Salad Bar, and President’s Choice",Packaged salads,"Food & Beverages, Food & Beverage Safety",listeria outbreak,"Dole Fresh Vegetables, Inc"
01/29/2019,"CVS, Equate",Oral ibuprofen,"Drugs, Generic Drugs, Over-the-Counter Drugs",Higher Concentration of Ibuprofen,"Tris Pharma, Inc."
01/24/2019,Thrive Market,Several varieties of nut butters,"Food & Beverages, Butter/Butter Product",Listeria,Thrive Market Inc.
01/24/2019,Whole Foods Market,"Pizza, sandwiches, wraps, etc.","Food & Beverages, Vegetable Products, Vegetable Protein Product",Salmonella.,Whole Foods Market
01/22/2019,Ottogi,Various noodle products,"Food & Beverages, Allergens, Egg/Egg Product",Undeclared Egg,"Ottogi America, Inc."
01/22/2019,Torrent Pharmaceuticals Limited,"Losartan potassium tablets, USP; Losartan potassium and Hydrochlorothiazide tablets, USP","Drugs, Generic Drugs, Prescription Drugs",Lack of Sterility,Torrent Pharmaceuticals Limited
01/18/2019,Prinston Pharmaceutical Inc. dba Solco Healthcare LLC,Irbesartan and Irbesartan HCTZ Tablets,"Drugs, Prescription Drugs",Due to the detection of NDEA (N-Nitrosodiethylamine) Impurity,Prinston Pharmaceutical Inc. dba Solco Healthcare LLC
01/18/2019,Mrs. Grissom’s Select,Old Fashioned Pimento Cheese,"Food & Beverages, Cheese/Cheese Product",Mislabeling,Mrs. Grissom’s Salads
01/15/2019,RXBAR,RXBAR bars-several varieties,"Dietary Supplements, Allergens, Nutritional Supplement",Peanut Allergen,RXBAR
01/15/2019,El Guapo,Chile Habanero and Pasilla-Ancho Chile Pods,"Food & Beverages, Allergens, Spices, Flavors &  Salts",Undeclared peanut,Mohave Foods Corporation
01/08/2019,Rhino,Rhino 5K capsules,"Drugs, Generic Drugs, Herbal",Undeclared Sildenafil and Tadalafil,"Happy Together, Inc."
01/08/2019,Sun Pharma,Vecuronium Bromide for Injection,"Drugs, Generic Drugs, Over-the-Counter Drugs",Potential Foreign Material,"Sun Pharmaceutical Industries, Inc"
01/07/2019,Lunch Box,Italian Sub and Ham & Cheese Sandwiches and Ham & Swiss Croissants,"Food & Beverages, Snack Food Item, Foodborne Illness",Listeria,Grand Strand Sandwich Company
01/05/2019,"Lupin Pharmaceuticals, Inc.","Ceftriaxone for Injection, USP","Drugs, Generic Drugs",Foreign Material,"Lupin Pharmaceuticals, Inc."
01/04/2019,Hy-Vee,Cheesecake,"Food & Beverages, Cheese/Cheese Product, Foodborne Illness",Salmonella,Hy-Vee Inc.
01/04/2019,Clancy’s,Wavy Potato Chips,"Food & Beverages, Snack Food Item",Undeclared Milk,Olde York Potato Chips
01/04/2019,Shamrock Farms,2% Reduced Fat Vanilla Half Gallon Milk,"Food & Beverages, Milk/Milk Product",Undeclared Almonds,Shamrock Farms
01/03/2019,Torrent Pharmaceuticals Limited,"Losartan potassium tablets, USP","Drugs, Generic Drugs",Due to the detection of trace amounts of N-nitrosodiethylamine (NDEA),Torrent Pharmaceuticals Limited
01/02/2019,Lubrisine,Eye Drops,"Drugs, Generic Drugs",Sterility Concerns and Undeclared Colloidal Silver,Results RNA LLC
01/02/2019,"Oskri, Thrive",Organic Sunflower Butter,"Food & Beverages, Butter/Butter Product",Potential to be contaminated with Listeria monocytogenes,Oskri Organics Corporation
12/31/2018,Aurobindo,"Amlodipine Valsartan Tablets USP, Valsartan HCTZ Tablets USP, Valsartan Tablets USP","Drugs, Generic Drugs, Prescription Drugs",Due to detection of NDEA (N-Nitrosodiethylamine) Impurity,"Aurobindo Pharma USA, Inc."
12/28/2018,Purina,Lamb chow,"Animal & Veterinary, Pet Food, Animal Feed",Due to Elevated Copper Level,Purina Animal Nutrition
12/20/2018,Torrent Pharmaceuticals Limited,"Losartan potassium tablets, USP","Drugs, Prescription Drugs",Due to detection of NDEA (N-Nitrosodiethylamine) Impurity,Torrent Pharmaceuticals Limited
12/19/2018,Terrific Care LLC dba MedEx Supply,Roche CoaguChek test strips,"Drugs,",Inaccurately reporting high INR test results,"Terrific Care, LLC. / Medex Supply Dist, Inc."
12/18/2018,Puritan Bennett™,Puritan Bennett™ 980 (PB980) ventilator series,"Medical Devices,","Software updates to external USB Drive performance, its impact on Graphical User Interface (GUI) functionality and labeling displayed on the GUI during ventilator",Medtronic
12/17/2018,Envoachem Pharmaceuticals,Dyural-40 and Dyural-80,"Drugs,",Due to Latex Hazard,Asclemed USA Inc dba Envoachem Pharmeceuticals
12/12/2018,Kotex,Tampons,"Medical Devices, Obstetrical & Gynecological",Unraveling and/or coming apart upon removal,Kimberly-Clark
12/06/2018,"Family Wellness, CVS, Equate",Infants’ Ibuprofen,"Drugs, Over-the-Counter Drugs",Due to Potential Higher Concentrations of Ibuprofen,Tris Pharma
12/05/2018,Light & Fit,Greek Crunch S'mores Nonfat Yogurt,"Food & Beverages, Yogurt/Yogurt Product",Undeclared peanuts,Danone North America
12/04/2018,Mylan,Valsartan-containing products,"Drugs, Prescription Drugs",Due to the detection of NDEA (N-Nitrosodiethylamine) Impurity,Mylan Pharmaceuticals
11/29/2018,Elm Pet Foods,Pet Food,"Animal & Veterinary, Pet Food",Potentially Elevated Levels of Vitamin D,ELM Pet Foods
11/28/2018,Sprout Creek Farm,Kinkead raw cows' milk cheese,"Food & Beverages, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes,"Sprout Creek Farm, Inc."
11/28/2018,ANF,Lamb and Rice Dry Dog Food,"Animal & Veterinary, Pet Food",Potentially Elevated Levels of Vitamin D,"ANF, Inc"
11/27/2018,Teva Pharmaceuticals,Amlodipine/Valsartan Combination Tables and Amlopidine/Valsartan/Hydrochlorothiazide Combination Tablets,"Drugs, Home Use, Physical Medicine",Due to detection of NDEA (N-Nitrosodiethylamine) Impurity,Teva Pharmaceuticals
11/26/2018,Pfizer Inc.,ThermaCare HeatWrap,"Medical Devices, Home Use, General Hospital & Personal Use",Due to Leaking Wraps,ThermaCare
11/24/2018,Ottogi,Jin Ramen,"Food & Beverages, Allergens, Prepared Food",Undeclared Egg,"Ottogi America, Inc."
11/23/2018,FC 500 Series,"FC 500™ Series Flow Cytometers (FC 500), COULTER® EPICS® XL™ and COULTER® EPICS® XL-MCL™ Flow Cytometer with System II Software","Medical Devices,",Potential for circuit amplifier board failure,Beckman Coulter Life Sciences
11/21/2018,Fresenius Kabi,"Sodium Chloride Injection, USP, 0.9%, 10 mL fill in a 10 mL vial and Sodium Chloride Injection, USP, 0.9%, 20 mL fill in a 20 mL vial","Drugs, Generic Drugs, Prescription Drugs",Due to Product Labeling Incorrectly Stating Stoppers Do Not Contain Latex,Fresenius Kabi USA
11/20/2018,Mylan,Amlodipine and Valsartan Tablets; Valsartan Tablets; Valsartan and Hydrochlorothiazide Tablets,Prescription Drugs,Due to the Detection of Trace Amounts of NDEA (N-Nitrosodiethylamine),Mylan Pharmaceuticals
11/20/2018,No brand name; “PACKED BY FIRST SOURCE” printed on back label.,Chocolate and Nut Tray,"Food & Beverages, Chocolate/Cocoa Product, Nuts & Nut Products",Undeclared Pecan and Cashew,First Source
11/16/2018,Green Cedar,Ackawi Cheese,"Food & Beverages, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes,Green Cedar Dairy
11/13/2018,Purveyors Kitchen,Pumpkin Pesto Tapenade,"Food & Beverages, Allergens, Tree Nuts",Undeclared tree nut (walnut),"Nor Cal Food Solutions, LLC"
11/12/2018,Oscor,"Temporary Bipolar Pacing Lead, Model TB","Drugs,",Connector cap housing may slide and potentially expose the connection wire,Oscor Inc.
11/09/2018,Hy-Vee,"Fire Roasted Tomato, Spinach Twice Baked Potato","Food & Beverages, Prepared Food",Possible contamination with Salmonella and Listeria monocytogenes,Hy-Vee
11/09/2018,Orlando,Chicken and Chickpea dog food,"Animal & Veterinary, Pet Food, Animal Feed",Potentially Elevated Levels of Vitamin D,Lidl US
11/09/2018,Losartan,Potassium Hydrochlorothiazide,"Drugs, Prescription Drugs",Due to detection of NDEA (N-Nitrosodiethylamine) Impurity,Sandoz Inc
11/09/2018,Recchiuti,Bittersweet and Feve chocolate bars,"Food & Beverages, Allergens, Dairy, Milk/Milk Product",Undeclared milk,Recchiuti Confections
11/09/2018,Quesillo and Alebrije,Cheeses,"Food & Beverages, Cheese/Cheese Product, Dairy, Foodborne Illness",Due to Potential Presence of Salmonella,ALEBRIJE DIST WHOLESALE
11/07/2018,Puriton,"Puriton Eye Relief Drops, 0.5 oz. (15ml) bottle","Drugs, Over-the-Counter Drugs",Due to Non-Sterile Production Conditions,Kadesh Inc.
11/05/2018,Duncan Hines,Cake mixes,"Food & Beverages, Bakery Product/Mix",Due to Potential Presence of Salmonella,Conagra Brands
11/02/2018,Barcelona,roasted and salted in shell pistachios,"Food & Beverages, Nuts & Nut Products",Potential to be contaminated with Salmonella,Barcelona
11/02/2018,Natural Life,Chicken & Potato Dry Dog Food,"Animal & Veterinary, Pet Food, Animal Feed",Due to Elevated Levels of Vitamin D,Natural Life Pet Products
10/31/2018,Roche,CoaguChek XS PT Test Strips,"Medical Devices, Laboratory Tests",Inaccurately high INR test results,Roche Diagnostics
10/30/2018,Fit & Active,Southwest Veggie Stuffed Sandwiches,"Food & Beverages,",Possible contamination with Salmonella and Listeria monocytogenes,J&J Snack Foods Handheld Corp.
10/29/2018,MarieBelle,Chocolate bars,Chocolate/Cocoa Product,Undeclared milk,Maribel’s Sweets Inc.
10/24/2018,Weis,Chocolate Whoopie Pie,"Food & Beverages, Snack Food Item",Undeclared Peanuts,Shirley's Cookie Company
10/22/2018,Promise Pharmacy,Prednisolone and Gatifloxacin Ophthalmic Solution,"Drugs, Prescription Drugs",Due to Small Particulate Floating in the Solution,Promise Pharmacy
10/19/2018,Working Cow,Ice Cream,"Food & Beverages, Ice Cream/Frozen Dairy",Potential to be contaminated with Listeria monocytogenes,"Working Cow Homemade, Inc."
10/18/2018,Zero Xtreme,Dietary Supplement for Weight Loss,"Drugs, Herbal",Due to Presence of Undeclared Sibutramine,Fat Burners Zone
10/10/2018,ReGen Series,All ReGen Series products,"Drugs, Generic Drugs",Adverse reactions,"Liveyon, LLC"
10/10/2018,Bazzini’s,Pistachios,"Food & Beverages, Food & Beverage Safety, Nuts & Nut Products, Foodborne Illness",Potential to be contaminated with salmonella,Bazzini LLC
10/05/2018,Callie's Charleston Biscuits,Country Ham Biscuits and Cocktail Ham Biscuits,"Food & Beverages, Food & Beverage Safety, Meat/Meat Products & Poultry, Pork/Pork Product, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Callie's Charleston Biscuits LLC
10/05/2018,Ladyfingers,Country Ham Rolls,"Food & Beverages, Food & Beverage Safety, Meat/Meat Products & Poultry, Pork/Pork Product",Listeria,"Ladyfingers Catering, LLC"
10/04/2018,Ukrop's,"Biscuits, rolls, salads and subs manufactured using recalled ham ingredient","Food & Beverages, Pork/Pork Product",Potential for Contamination with Listeria monocytogenes,Ukrop's
10/03/2018,"Pet Alive, Native Remedies, Healthful Naturals",Homeopathic Drug Products (liquid),"Animal & Veterinary, Food & Beverages, Contaminants, Pet Food",Microbial Contamination,"Pet Alive, Native Remedies, Healthful Naturals"
09/27/2018,Oscor,Temporary Bipolar Pacing Leads,"Medical Devices,",The connector cap housing may slide and potentially expose the connection wire,Oscor Inc.
09/25/2018,Harris Teeter,Frozen yogurt,"Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product",Undeclared peanut,Harris Teeter
09/25/2018,Cardiosave,Maquet/Getinge Cardiosave Intra-Aortic Balloon Pumps (IABP),"Medical Devices, Cardiovascular",Potential interruption and/or inability to start therapy to the patient,Getinge
09/18/2018,Bellona,Milk Chocolate Flavored Coated Wafer with Hazelnut Crème Filling and White Chocolate Flavor,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Wheat,Lidl US
09/13/2018,NeoRelief,Muscle,"Drugs,",Due to Possible Microbial Contamination,BioLyte Laboratories
09/10/2018,"Steve's Real Food, Quest",Pet food,"Animal & Veterinary, Food & Beverage Safety",Due to Possible Salmonella and L. Mono Contamination,Steve's Real Food
09/10/2018,Pharm D Solutions,Compounded drugs,"Drugs, Generic Drugs",Lack of Sterility,Pharm D Solutions LLC
09/07/2018,Camber Pharmaceuticals,"Montelukast Sodium Tablets, USP 10mg","Drugs, Generic Drugs",Mislabeling,"Camber Pharmaceuticals, Inc"
09/06/2018,Beaumont Bio Med Homeopathic,Homeopathic oral sprays,"Drugs, Generic Drugs",Due to Possible Microbial Contamination,"Beaumont Bio Med, Inc."
08/31/2018,CyPass,Micro-Stent,"Medical Devices, General & Plastic Surgery",Long-term safety concerns,Alcon
08/29/2018,"CVS, Rhinall, Humist, more",Nasal Products and Baby Oral Gels,"Drugs, Over-the-Counter Drugs",Microbial Contamination,Product Quest Manufacturing LLC
08/29/2018,"Neuroveen, Respitrol, Thyroveev, Compulsin",Homeopathic Medicines,"Drugs,",Due to Possible Microbial Contamination,"HelloLife, Inc."
08/28/2018,Dr. King’s,Homeopathic products for human and animal use,"Drugs, Food & Beverage Safety, Generic Drugs",Microbial Contamination,King Bio
08/28/2018,Living Well Remedies,Homeopathic Spray for Weight Loss,"Dietary Supplements, Nutritional Supplement",Due to microbial contamination,"Living Well Remedies, LLC"
08/28/2018,Children’s Advil,Ibuprofen Oral Suspension,"Drugs, Over-the-Counter Drugs",Dosage cup provided is marked in teaspoons and the instructions on the label are described in milliliters (mL),"Pfizer, Inc."
08/28/2018,Allied Import Inc.,Lily Bulb,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Allied Imports Inc.
08/24/2018,"KB, DK, more",Homeopathic products,"Drugs,",Microbial contamination,King Bio
08/16/2018,Blissful Remedies,Products Containing Kratom,"Drugs, Prescription Drugs",Due to High Microbial Loads Contamination,"World Organix, LLC"
08/15/2018,Zakah Life,Kratom Containing Products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Meal Replacements, Protein Supplement",Salmonella,"Zakah Life, LLC"
08/14/2018,Kratom Powder Capsule,Kratom Powder Capsule,"Drugs, Generic Drugs",Potential to be contaminated with Salmonella,Blissful Remedies
08/08/2018,CVS Health,12 Hour Sinus Relief Nasal Mist,"Drugs, Over-the-Counter Drugs",Due to Microbiological Contamination,Product Quest Manufacturing (“Product Quest”)
08/07/2018,El Guapo,Jamaica Hibiscus Flower,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Unlabeled Peanut,Mojave Foods Corporation
08/02/2018,Almond Breeze,Vanilla almondmilk,"Food & Beverages, Allergens, Dairy, Food & Beverage Safety, Milk/Milk Product",Undeclared milk,HP Hood LLC
07/31/2018,Auromedics,"Piperacillin and Tazobactam for injection, USP 3.375 g","Drugs, Generic Drugs",Due to Presence of Particulates Identified as Glass and Silicone Material,AuroMedics Pharma
07/28/2018,Ranier's RX Laboratory,Compounded drug products,"Drugs, Generic Drugs",Due to Lack of Sterility Assurance,Ranier's RX Laboratory
07/25/2018,"Associated Milk Producers, Inc. (AMPI)",Dry Whey Powder,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with salmonella,"Associated Milk Producers, Inc. (AMPI)"
07/25/2018,Taco Bell,Salsa Con Queso Mild Cheese Dip,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Potential growth of Clostridium botulinum (C. botulinum),Kraft Heinz
07/23/2018,Ritz,Cracker Sandwiches,"Food & Beverages, Food & Beverage Safety, Snack Food Item, Foodborne Illness",Potential to be contaminated with salmonella,Mondelez Global LLC
07/20/2018,Food Lion,Dill Pickle Flavored Potato Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared milk,"Shearer’s Foods, LLC"
07/20/2018,"Dr. King’s, Dr. King’s Aquaflora","Homeopathic liquids: Candida liquid, lymph detox liquid, baby teething liquid","Drugs, Generic Drugs","microbial contaminants Pseudomonas Brenneri, Pseudomonas Fluroescens and Burkholderia Multivorans.",King Bio Inc.
07/18/2018,Prinston Pharmaceutical Inc. dba Solco Healthcare LLC,"Valsartan Tablets, 40 mg, 80mg, 160mg, and 320mg; and Valsartan-Hydrochlorothiazide Tablets, 80mg/12.5mg, 160mg/12.5mg, 160mg/25mg, 320mg/12.5mg, and 320mg/25mg","Drugs,","Due to Detection of a Trace Amount of Unexpected Impurity, N-Nitrosodimethylamine (NDMA)",Prinston Pharmaceutical Inc. dba Solco Healthcare LLC
07/16/2018,Major Pharmaceuticals,"Valsartan tablets, 80mg USP and 160 mg USP","Drugs, Generic Drugs",may contain the probable carcinogen Nnitrosodimethylamine (NDMA),Major Pharmaceuticals
07/13/2018,Sonic-Fusion,Flossing toothbrush,"Medical Devices, Dental",Charging base may overheat,"Water Pik, Inc"
07/02/2018,Fagron Sterile Services,Neostigmine Methylsulfate 5 mL Syringes,"Drugs, Generic Drugs",Mislabeling,Fagron Sterile Services
06/29/2018,Wish Bone,House Italian Salad Dressing,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared milk and egg,Pinnacle Foods Inc.
06/28/2018,Talking Rain,Sparkling Ice Cherry Limeade,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Off Taste Off Odor,Talking Rain
06/27/2018,Hospira,"Daptomycin for Injection 500 mg, Lyophilized Powder For Solution, Single Dose Vial","Drugs, Medical Devices, Generic Drugs",Adverse event reports indicative of infusion reactions,Hospira Inc.
06/21/2018,Gaia Ethnobotanical,Kratom Products,"Dietary Supplements, Drugs, Generic Drugs, Nutritional Supplement",Salmonella,"Gaia Ethnobotanical, LLC"
06/04/2018,Hospira,"Naloxone Hydrochloride Injection, USP, 0.4 mg/mL, 1 mL in 2.5 mL in the Carpuject™ Single-use cartridge Syringe System","Drugs, Generic Drugs",Potential of Foreign Material,Hospira Inc.
06/02/2018,Gericare,Sterile Eye Irrigation Solution,"Drugs,",Potential microbial contamination which compromises sterility,Kareway Products Inc.
05/31/2018,Apotex,Fluticasone Propionate Nasal Spray,"Drugs, Generic Drugs",Small Glass Particles,Apotex Corp.
05/31/2018,HeartMate 3,Left Ventricular Assist Device,"Drugs,","potential safety risk to patients, such as low blood flow or clotting.",Abbott
05/29/2018,Pious Lion,Product containing kratom,"Food & Beverages, Food & Beverage Safety, Meal Replacements, Foodborne Illness",Salmonella,Pious Lion
05/29/2018,Taytulla,Birth control capsules,"Drugs, Over-the-Counter Drugs",Due to Out of Sequence Capsules,Allergan
05/25/2018,Zoe’s,Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nuts (walnuts),Dough-to-Go
05/25/2018,Private Brand,Frozen Broccoli Cuts,"Food & Beverages, Food & Beverage Safety, Produce",Listeria,"Giant Food, LLC"
05/25/2018,Private Brand,Frozen Broccoli Cuts,"Food & Beverages, Food & Beverage Safety, Produce",Listeria,"Giant Food Stores, LLC"
05/25/2018,Private Brand,Frozen Broccoli Cuts,"Food & Beverages, Food & Beverage Safety, Produce",Listeria,Stop & Shop
05/25/2018,WATAN DRY FRUITS,Dried Apricot,"Food & Beverages, Allergens, Food & Beverage Safety, Fruit/Fruit Product",Sulfites,"Global Commodities, Inc."
05/24/2018,New Seasons,"mini butter croissants, mini chocolate croissants","Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Egg,New Seasons Market LLC
05/14/2018,AuroMedics Pharma LLC,"Piperacillin and Tazobactam for injection, USP 3.375 g/vial","Drugs, Prescription Drugs",Due to Presence of Glass Particulates,AuroMedics Pharma LLC
05/14/2018,AuroMedics Pharma LLC,"Ampicillin and Sulbactam for Injection USP, 3 grams/ Single-Dose vial","Drugs, Generic Drugs",Visible Particulate Matter,AuroMedics Pharma LLC
05/14/2018,Apotex Corporation,Piperacillin and Tazobactam for Injection,"Drugs,",Ingredient Level,Apotex Corporation
05/08/2018,Van's,Waffles,"Food & Beverages, Allergens, Food & Beverage Safety",Allergens - Milk and Wheat,Van's Foods
05/04/2018,Acadica,Kratom dietary supplement,"Food & Beverages, Allergens, Food & Beverage Safety",Salmonella,"Badger Botanicals, LLC"
04/21/2018,Happy Harvest,Canned leaf spinach,"Food & Beverages, Allergens, Food & Beverage Safety",Peanuts,"McCall Farms, Inc"
04/18/2018,Nirvanio,Special Reserve Kratom Blend,"Dietary Supplements, Food & Beverage Safety, Nutritional Supplement",Potential to be contaminated with Salmonella,"NutriZone, LLC"
04/17/2018,"Various: Raw Form Organics, Molecule, Chameleon, Naturally, Lifted, Live Well, Third Eye",Powdered kratom products,"Food & Beverages, Food & Beverage Safety",Salmonella,Triangle Pharmanaturals LLC
04/17/2018,"Country Daybreak, Food Lion and more",Shell eggs,"Food & Beverages, Egg/Egg Product, Food & Beverage Safety",Potential to be contaminated with Salmonella Braenderup,Rose Acre Farms
